ID,y_pred
20000,0
20001,2
20002,2
20003,1
20004,2
20005,2
20006,1
20007,2
20008,2
20009,2
20010,2
20011,2
20012,2
20013,2
20014,2
20015,2
20016,2
20017,2
20018,2
20019,2
20020,2
20021,1
20022,2
20023,2
20024,2
20025,2
20026,2
20027,2
20028,2
20029,1
20030,2
20031,2
20032,0
20033,1
20034,0
20035,2
20036,2
20037,2
20038,2
20039,2
20040,2
20041,2
20042,2
20043,1
20044,2
20045,2
20046,2
20047,2
20048,2
20049,2
20050,2
20051,2
20052,2
20053,2
20054,0
20055,2
20056,2
20057,2
20058,2
20059,2
20060,2
20061,2
20062,2
20063,2
20064,2
20065,2
20066,2
20067,2
20068,2
20069,2
20070,1
20071,2
20072,2
20073,2
20074,1
20075,0
20076,2
20077,2
20078,1
20079,2
20080,2
20081,2
20082,2
20083,2
20084,2
20085,2
20086,2
20087,2
20088,1
20089,2
20090,2
20091,2
20092,2
20093,2
20094,2
20095,2
20096,2
20097,2
20098,0
20099,2
20100,1
20101,1
20102,1
20103,1
20104,2
20105,0
20106,2
20107,2
20108,2
20109,2
20110,2
20111,2
20112,1
20113,2
20114,2
20115,1
20116,1
20117,2
20118,2
20119,1
20120,2
20121,2
20122,1
20123,2
20124,2
20125,2
20126,2
20127,2
20128,2
20129,2
20130,2
20131,2
20132,1
20133,2
20134,2
20135,2
20136,2
20137,2
20138,2
20139,2
20140,2
20141,2
20142,2
20143,2
20144,2
20145,2
20146,2
20147,1
20148,2
20149,2
20150,2
20151,2
20152,2
20153,2
20154,2
20155,2
20156,2
20157,2
20158,2
20159,2
20160,2
20161,2
20162,2
20163,2
20164,2
20165,1
20166,2
20167,2
20168,2
20169,2
20170,2
20171,2
20172,2
20173,2
20174,2
20175,2
20176,2
20177,2
20178,2
20179,2
20180,2
20181,1
20182,1
20183,2
20184,2
20185,2
20186,0
20187,2
20188,2
20189,2
20190,2
20191,2
20192,2
20193,2
20194,2
20195,2
20196,2
20197,2
20198,2
20199,2
20200,2
20201,1
20202,2
20203,2
20204,2
20205,2
20206,1
20207,2
20208,1
20209,2
20210,1
20211,2
20212,2
20213,2
20214,2
20215,2
20216,1
20217,1
20218,1
20219,0
20220,2
20221,1
20222,1
20223,2
20224,2
20225,2
20226,2
20227,2
20228,2
20229,1
20230,2
20231,2
20232,0
20233,2
20234,2
20235,2
20236,2
20237,2
20238,0
20239,2
20240,1
20241,0
20242,2
20243,2
20244,2
20245,1
20246,1
20247,1
20248,1
20249,2
20250,2
20251,0
20252,2
20253,1
20254,2
20255,2
20256,2
20257,2
20258,2
20259,2
