ID,y_pred
20000,1
20001,1
20002,1
20003,1
20004,1
20005,2
20006,1
20007,2
20008,1
20009,1
20010,1
20011,1
20012,0
20013,1
20014,2
20015,1
20016,1
20017,0
20018,1
20019,1
20020,2
20021,1
20022,0
20023,1
20024,2
20025,1
20026,1
20027,2
20028,0
20029,1
20030,0
20031,1
20032,1
20033,1
20034,0
20035,1
20036,1
20037,1
20038,1
20039,1
20040,2
20041,1
20042,1
20043,1
20044,1
20045,2
20046,1
20047,1
20048,1
20049,0
20050,1
20051,2
20052,2
20053,1
20054,1
20055,1
20056,1
20057,2
20058,1
20059,2
20060,2
20061,0
20062,0
20063,0
20064,1
20065,1
20066,1
20067,1
20068,1
20069,1
20070,1
20071,1
20072,2
20073,1
20074,0
20075,2
20076,1
20077,1
20078,0
20079,0
20080,0
20081,0
20082,1
20083,1
20084,1
20085,1
20086,1
20087,1
20088,0
20089,2
20090,1
20091,1
20092,1
20093,1
20094,1
20095,2
20096,2
20097,1
20098,2
20099,1
20100,0
20101,2
20102,1
20103,1
20104,0
20105,2
20106,1
20107,0
20108,0
20109,1
20110,1
20111,1
20112,1
20113,1
20114,2
20115,1
20116,0
20117,1
20118,0
20119,0
20120,1
20121,1
20122,2
20123,1
20124,2
20125,1
20126,0
20127,0
20128,2
20129,2
20130,1
20131,1
20132,1
20133,1
20134,2
20135,1
20136,1
20137,1
20138,1
20139,1
20140,1
20141,1
20142,1
20143,1
20144,2
20145,1
20146,1
20147,0
20148,1
20149,1
20150,0
20151,0
20152,0
20153,1
20154,1
20155,2
20156,1
20157,1
20158,1
20159,1
20160,1
20161,1
20162,1
20163,0
20164,1
20165,2
20166,1
20167,1
20168,0
20169,2
20170,1
20171,1
20172,1
20173,1
20174,2
20175,2
20176,1
20177,0
20178,2
20179,2
20180,1
20181,1
20182,0
20183,0
20184,1
20185,1
20186,2
20187,2
20188,2
20189,1
20190,2
20191,1
20192,1
20193,2
20194,2
20195,1
20196,0
20197,1
20198,0
20199,1
20200,2
20201,2
20202,2
20203,2
20204,2
20205,2
20206,1
20207,1
20208,2
20209,1
20210,1
20211,0
20212,1
20213,1
20214,2
20215,2
20216,1
20217,1
20218,1
20219,2
20220,2
20221,0
20222,0
20223,2
20224,1
20225,1
20226,2
20227,1
20228,1
20229,2
20230,1
20231,1
20232,1
20233,2
20234,0
20235,0
20236,2
20237,1
20238,2
20239,2
20240,2
20241,1
20242,1
20243,0
20244,1
20245,1
20246,1
20247,0
20248,1
20249,2
20250,1
20251,2
20252,1
20253,0
20254,1
20255,1
20256,2
20257,2
20258,1
20259,1
20260,2
20261,2
20262,1
20263,1
20264,2
20265,1
20266,1
20267,1
20268,2
20269,1
20270,1
20271,1
20272,1
20273,1
20274,1
20275,2
20276,1
20277,1
20278,2
20279,1
20280,1
20281,1
20282,2
20283,2
20284,1
20285,0
20286,2
20287,0
20288,1
20289,1
20290,2
20291,1
20292,1
20293,1
20294,1
20295,1
20296,1
20297,0
20298,1
20299,1
20300,1
20301,1
20302,1
20303,2
20304,0
20305,1
20306,1
20307,1
20308,0
20309,1
20310,2
20311,0
20312,2
20313,2
20314,0
20315,2
20316,1
20317,0
20318,1
20319,2
20320,0
20321,1
20322,2
20323,2
20324,0
20325,1
20326,2
20327,0
20328,1
20329,0
20330,1
20331,1
20332,2
20333,1
20334,1
20335,1
20336,1
20337,1
20338,1
20339,1
20340,1
20341,1
20342,1
20343,1
20344,1
20345,1
20346,1
20347,1
20348,1
20349,0
20350,1
20351,1
20352,1
20353,1
20354,2
20355,0
20356,1
20357,1
20358,1
20359,1
20360,1
20361,1
20362,2
20363,1
20364,1
20365,1
20366,1
20367,1
20368,2
20369,2
20370,2
20371,0
20372,1
20373,1
20374,1
20375,1
20376,2
20377,1
20378,1
20379,1
20380,1
20381,1
20382,0
20383,0
20384,0
20385,0
20386,1
20387,0
20388,2
20389,1
20390,1
20391,2
20392,2
20393,0
20394,1
20395,0
20396,1
20397,1
20398,0
20399,1
20400,1
20401,0
20402,1
20403,1
20404,2
20405,1
20406,1
20407,1
20408,1
20409,2
20410,0
20411,2
20412,1
20413,1
20414,2
20415,1
20416,2
20417,2
20418,0
20419,2
20420,1
20421,1
20422,1
20423,2
20424,2
20425,1
20426,0
20427,1
20428,2
20429,2
20430,1
20431,1
20432,2
20433,1
20434,1
20435,1
20436,0
20437,1
20438,0
20439,1
20440,1
20441,1
20442,1
20443,2
20444,1
20445,2
20446,0
20447,2
20448,2
20449,0
20450,2
20451,1
20452,1
20453,1
20454,1
20455,2
20456,1
20457,1
20458,1
20459,2
20460,0
20461,1
20462,2
20463,0
20464,1
20465,1
20466,1
20467,2
20468,1
20469,1
20470,1
20471,0
20472,1
20473,2
20474,1
20475,1
20476,1
20477,2
20478,1
20479,1
20480,0
20481,1
20482,0
20483,1
20484,1
20485,1
20486,1
20487,1
20488,0
20489,1
20490,0
20491,2
20492,1
20493,1
20494,2
20495,1
20496,1
20497,1
20498,1
20499,2
20500,1
20501,1
20502,2
20503,1
20504,1
20505,1
20506,1
20507,2
20508,1
20509,1
20510,1
20511,2
20512,1
20513,0
20514,1
20515,1
20516,2
20517,1
20518,1
20519,1
20520,0
20521,1
20522,1
20523,1
20524,2
20525,0
20526,1
20527,1
20528,1
20529,0
20530,1
20531,1
20532,1
20533,1
20534,2
20535,1
20536,1
20537,1
20538,1
20539,0
20540,1
20541,1
20542,1
20543,1
20544,1
20545,1
20546,1
20547,1
20548,1
20549,1
20550,1
20551,2
20552,1
20553,1
20554,0
20555,0
20556,0
20557,1
20558,1
20559,1
20560,1
20561,1
20562,0
20563,1
20564,1
20565,1
20566,1
20567,1
20568,1
20569,1
20570,2
20571,2
20572,1
20573,1
20574,1
20575,0
20576,1
20577,1
20578,1
20579,1
20580,2
20581,1
20582,1
20583,1
20584,1
20585,1
20586,1
20587,1
20588,2
20589,2
20590,0
20591,1
20592,1
20593,0
20594,1
20595,2
20596,1
20597,1
20598,1
20599,1
20600,1
20601,2
20602,1
20603,1
20604,1
20605,1
20606,1
20607,1
20608,2
20609,1
20610,0
20611,1
20612,1
20613,1
20614,1
20615,2
20616,1
20617,2
20618,2
20619,1
20620,2
20621,1
20622,1
20623,1
20624,2
20625,1
20626,1
20627,1
20628,2
20629,1
20630,1
20631,0
20632,2
20633,2
20634,1
20635,0
20636,0
20637,1
20638,1
20639,0
20640,1
20641,1
20642,0
20643,1
20644,1
20645,1
20646,1
20647,0
20648,1
20649,2
20650,1
20651,1
20652,1
20653,2
20654,1
20655,1
20656,1
20657,2
20658,1
20659,1
20660,0
20661,1
20662,1
20663,1
20664,1
20665,1
20666,1
20667,1
20668,0
20669,1
20670,1
20671,1
20672,1
20673,2
20674,1
20675,1
20676,1
20677,1
20678,1
20679,1
20680,1
20681,1
20682,0
20683,1
20684,0
20685,1
20686,1
20687,1
20688,2
20689,1
20690,1
20691,1
20692,2
20693,1
20694,1
20695,1
20696,2
20697,1
20698,1
20699,0
20700,0
20701,1
20702,1
20703,1
20704,1
20705,1
20706,1
20707,1
20708,1
20709,2
20710,1
20711,0
20712,1
20713,1
20714,1
20715,1
20716,1
20717,1
20718,0
20719,0
20720,2
20721,1
20722,1
20723,1
20724,1
20725,1
20726,1
20727,0
20728,0
20729,2
20730,1
20731,0
20732,0
20733,0
20734,2
20735,1
20736,1
20737,1
20738,1
20739,1
20740,1
20741,0
20742,1
20743,2
20744,2
20745,1
20746,2
20747,1
20748,1
20749,1
20750,2
20751,1
20752,1
20753,2
20754,1
20755,2
20756,0
20757,1
20758,1
20759,0
20760,1
20761,0
20762,1
20763,1
20764,1
20765,1
20766,0
20767,2
20768,1
20769,0
20770,1
20771,1
20772,1
20773,2
20774,1
20775,1
20776,1
20777,2
20778,1
20779,2
20780,1
20781,1
20782,1
20783,1
20784,2
20785,1
20786,1
20787,1
20788,1
20789,0
20790,2
20791,2
20792,1
20793,1
20794,1
20795,0
20796,0
20797,1
20798,1
20799,1
20800,1
20801,1
20802,0
20803,0
20804,0
20805,1
20806,1
20807,1
20808,1
20809,1
20810,1
20811,1
20812,0
20813,2
20814,2
20815,0
20816,1
20817,1
20818,1
20819,1
20820,2
20821,0
20822,1
20823,2
20824,1
20825,0
20826,1
20827,1
20828,1
20829,1
20830,1
20831,2
20832,0
20833,1
20834,1
20835,1
20836,0
20837,1
20838,0
20839,1
20840,0
20841,0
20842,1
20843,1
20844,1
20845,2
20846,2
20847,1
20848,1
20849,1
20850,2
20851,1
20852,1
20853,1
20854,1
20855,1
20856,0
20857,0
20858,1
20859,1
20860,1
20861,1
20862,1
20863,0
20864,1
20865,1
20866,1
20867,2
20868,1
20869,1
20870,1
20871,1
20872,1
20873,1
20874,0
20875,1
20876,1
20877,1
20878,0
20879,1
20880,2
20881,2
20882,1
20883,1
20884,1
20885,2
20886,1
20887,2
20888,1
20889,1
20890,1
20891,0
20892,0
20893,1
20894,1
20895,1
20896,1
20897,1
20898,1
20899,2
20900,2
20901,2
20902,1
20903,2
20904,1
20905,1
20906,0
20907,1
20908,2
20909,2
20910,0
20911,2
20912,1
20913,1
20914,2
20915,1
20916,0
20917,1
20918,1
20919,1
20920,2
20921,1
20922,1
20923,1
20924,1
20925,1
20926,1
20927,1
20928,1
20929,1
20930,1
20931,1
20932,1
20933,0
20934,2
20935,1
20936,2
20937,1
20938,1
20939,1
20940,1
20941,1
20942,0
20943,1
20944,1
20945,1
20946,1
20947,0
20948,1
20949,2
20950,0
20951,0
20952,1
20953,1
20954,1
20955,2
20956,1
20957,0
20958,1
20959,1
20960,0
20961,1
20962,0
20963,1
20964,1
20965,1
20966,1
20967,1
20968,0
20969,1
20970,1
20971,1
20972,1
20973,1
20974,1
20975,1
20976,1
20977,1
20978,1
20979,2
20980,0
20981,0
20982,1
20983,2
20984,1
20985,2
20986,1
20987,2
20988,1
20989,2
20990,1
20991,2
20992,0
20993,1
20994,1
20995,1
20996,1
20997,2
20998,1
20999,1
21000,0
21001,0
21002,2
21003,2
21004,1
21005,1
21006,1
21007,2
21008,0
21009,1
21010,0
21011,1
21012,1
21013,1
21014,2
21015,1
21016,0
21017,1
21018,2
21019,2
21020,1
21021,1
21022,2
21023,1
21024,1
21025,1
21026,1
21027,1
21028,0
21029,2
21030,1
21031,0
21032,1
21033,1
21034,1
21035,1
21036,1
21037,1
21038,0
21039,1
21040,2
21041,2
21042,1
21043,1
21044,1
21045,2
21046,0
21047,0
21048,2
21049,0
21050,1
21051,2
21052,0
21053,2
21054,2
21055,1
21056,2
21057,0
21058,0
21059,1
21060,0
21061,1
21062,0
21063,1
21064,1
21065,1
21066,0
21067,1
21068,1
21069,1
21070,1
21071,0
21072,1
21073,0
21074,0
21075,1
21076,1
21077,1
21078,1
21079,1
21080,1
21081,2
21082,1
21083,1
21084,1
21085,1
21086,0
21087,1
21088,1
21089,1
21090,1
21091,1
21092,0
21093,1
21094,2
21095,1
21096,1
21097,1
21098,0
21099,1
21100,1
21101,1
21102,1
21103,2
21104,0
21105,2
21106,1
21107,2
21108,0
21109,1
21110,2
21111,1
21112,2
21113,0
21114,1
21115,2
21116,2
21117,1
21118,1
21119,1
21120,1
21121,1
21122,1
21123,2
21124,0
21125,1
21126,2
21127,1
21128,2
21129,1
21130,1
21131,1
21132,2
21133,2
21134,1
21135,1
21136,1
21137,1
21138,1
21139,1
21140,1
21141,1
21142,1
21143,0
21144,0
21145,0
21146,2
21147,0
21148,1
21149,1
21150,1
21151,2
21152,1
21153,0
21154,2
21155,1
21156,1
21157,1
21158,1
21159,2
21160,1
21161,1
21162,1
21163,1
21164,1
21165,1
21166,1
21167,1
21168,1
21169,0
21170,1
21171,0
21172,1
21173,1
21174,1
21175,1
21176,0
21177,1
21178,2
21179,1
21180,2
21181,1
21182,2
21183,1
21184,1
21185,1
21186,2
21187,2
21188,1
21189,1
21190,1
21191,1
21192,1
21193,2
21194,1
21195,1
21196,1
21197,1
21198,0
21199,0
21200,1
21201,0
21202,2
21203,2
21204,0
21205,1
21206,2
21207,1
21208,2
21209,1
21210,1
21211,1
21212,1
21213,2
21214,1
21215,0
21216,1
21217,1
21218,0
21219,1
21220,2
21221,0
21222,1
21223,2
21224,1
21225,1
21226,1
21227,1
21228,0
21229,1
21230,0
21231,1
21232,0
21233,0
21234,1
21235,2
21236,1
21237,1
21238,2
21239,1
21240,1
21241,2
21242,2
21243,1
21244,1
21245,1
21246,1
21247,1
21248,1
21249,1
21250,1
21251,1
21252,1
21253,1
21254,2
21255,2
21256,1
21257,0
21258,1
21259,2
21260,1
21261,1
21262,2
21263,1
21264,1
21265,0
21266,1
21267,2
21268,1
21269,0
21270,1
21271,1
21272,2
21273,2
21274,1
21275,1
21276,1
21277,1
21278,1
21279,2
21280,2
21281,1
21282,1
21283,1
21284,1
21285,1
21286,1
21287,1
21288,2
21289,2
21290,1
21291,2
21292,1
21293,0
21294,1
21295,1
21296,1
21297,1
21298,1
21299,1
21300,1
21301,2
21302,1
21303,0
21304,2
21305,2
21306,2
21307,1
21308,1
21309,2
21310,1
21311,1
21312,0
21313,1
21314,1
21315,1
21316,1
21317,1
21318,2
21319,1
21320,1
21321,2
21322,1
21323,1
21324,1
21325,2
21326,0
21327,1
21328,1
21329,1
21330,1
21331,1
21332,2
21333,2
21334,2
21335,1
21336,1
21337,1
21338,2
21339,2
21340,1
21341,2
21342,1
21343,0
21344,0
21345,0
21346,1
21347,1
21348,1
21349,1
21350,1
21351,1
21352,1
21353,1
21354,2
21355,1
21356,0
21357,1
21358,1
21359,0
21360,1
21361,2
21362,1
21363,1
21364,1
21365,1
21366,1
21367,1
21368,0
21369,1
21370,0
21371,1
21372,1
21373,1
21374,1
21375,1
21376,2
21377,0
21378,1
21379,1
21380,0
21381,1
21382,2
21383,1
21384,1
21385,0
21386,1
21387,1
21388,2
21389,1
21390,2
21391,2
21392,0
21393,0
21394,1
21395,2
21396,0
21397,1
21398,1
21399,2
21400,1
21401,1
21402,1
21403,0
21404,2
21405,0
21406,1
21407,1
21408,1
21409,1
21410,1
21411,2
21412,1
21413,1
21414,1
21415,1
21416,1
21417,1
21418,1
21419,1
21420,1
21421,1
21422,2
21423,2
21424,1
21425,1
21426,2
21427,1
21428,2
21429,1
21430,2
21431,2
21432,1
21433,1
21434,1
21435,0
21436,1
21437,1
21438,1
21439,1
21440,2
21441,1
21442,2
21443,1
21444,1
21445,1
21446,2
21447,0
21448,1
21449,1
21450,1
21451,1
21452,1
21453,1
21454,2
21455,1
21456,1
21457,1
21458,0
21459,1
21460,2
21461,1
21462,1
21463,1
21464,1
21465,1
21466,0
21467,1
21468,1
21469,1
21470,1
21471,1
21472,2
21473,1
21474,2
21475,1
21476,1
21477,1
21478,1
21479,1
21480,2
21481,1
21482,0
21483,1
21484,1
21485,2
21486,0
21487,0
21488,0
21489,1
21490,1
21491,0
21492,1
21493,2
21494,0
21495,1
21496,1
21497,1
21498,1
21499,1
21500,1
21501,1
21502,1
21503,1
21504,1
21505,0
21506,1
21507,1
21508,1
21509,1
21510,2
21511,0
21512,2
21513,1
21514,1
21515,1
21516,1
21517,2
21518,0
21519,1
21520,1
21521,1
21522,1
21523,1
21524,0
21525,0
21526,1
21527,2
21528,1
21529,0
21530,2
21531,1
21532,1
21533,1
21534,1
21535,1
21536,1
21537,1
21538,0
21539,0
21540,1
21541,2
21542,0
21543,1
21544,1
21545,1
21546,1
21547,2
21548,2
21549,0
21550,1
21551,1
21552,1
21553,1
21554,1
21555,0
21556,1
21557,2
21558,1
21559,2
21560,1
21561,1
21562,0
21563,1
21564,1
21565,1
21566,1
21567,2
21568,1
21569,0
21570,1
21571,1
21572,1
21573,1
21574,0
21575,1
21576,1
21577,1
21578,0
21579,0
21580,0
21581,1
21582,2
21583,2
21584,1
21585,1
21586,2
21587,1
21588,1
21589,1
21590,1
21591,1
21592,2
21593,2
21594,0
21595,0
21596,1
21597,2
21598,1
21599,1
21600,1
21601,1
21602,0
21603,1
21604,1
21605,1
21606,1
