ID,y_pred
20000,1
20001,0
20002,1
20003,1
20004,1
20005,0
20006,0
20007,2
20008,1
20009,0
20010,0
20011,1
20012,0
20013,1
20014,2
20015,2
20016,1
20017,2
20018,1
20019,1
20020,2
20021,1
20022,0
20023,1
20024,2
20025,1
20026,1
20027,0
20028,0
20029,1
20030,0
20031,1
20032,1
20033,1
20034,0
20035,1
20036,1
20037,1
20038,1
20039,1
20040,2
20041,1
20042,1
20043,1
20044,1
20045,2
20046,1
20047,2
20048,1
20049,0
20050,1
20051,2
20052,2
20053,1
20054,1
20055,1
20056,1
20057,0
20058,1
20059,2
20060,2
20061,2
20062,0
20063,0
20064,1
20065,1
20066,1
20067,1
20068,2
20069,1
20070,1
20071,1
20072,1
20073,1
20074,0
20075,2
20076,1
20077,0
20078,1
20079,0
20080,0
20081,0
20082,1
20083,1
20084,1
20085,1
20086,2
20087,1
20088,0
20089,2
20090,1
20091,1
20092,1
20093,1
20094,1
20095,1
20096,2
20097,0
20098,0
20099,1
20100,0
20101,2
20102,1
20103,1
20104,0
20105,2
20106,1
20107,2
20108,2
20109,2
20110,1
20111,1
20112,1
20113,1
20114,2
20115,1
20116,1
20117,1
20118,2
20119,0
20120,1
20121,0
20122,2
20123,0
20124,0
20125,1
20126,0
20127,0
20128,2
20129,0
20130,1
20131,1
20132,2
20133,1
20134,1
20135,2
20136,1
20137,1
20138,1
20139,1
20140,1
20141,0
20142,1
20143,1
20144,1
20145,1
20146,1
20147,0
20148,0
20149,1
20150,1
20151,0
20152,0
20153,1
20154,1
20155,1
20156,1
20157,1
20158,1
20159,1
20160,1
20161,1
20162,1
20163,2
20164,1
20165,0
20166,2
20167,1
20168,2
20169,2
20170,1
20171,1
20172,0
20173,1
20174,2
20175,2
20176,2
20177,1
20178,2
20179,1
20180,1
20181,1
20182,0
20183,2
20184,1
20185,1
20186,2
20187,1
20188,2
20189,1
20190,0
20191,2
20192,1
20193,1
20194,1
20195,1
20196,0
20197,1
20198,2
20199,0
20200,2
20201,2
20202,2
20203,2
20204,2
20205,0
20206,1
20207,1
20208,0
20209,1
20210,1
20211,0
20212,1
20213,1
20214,1
20215,0
20216,0
20217,1
20218,1
20219,2
20220,1
20221,0
20222,0
20223,1
20224,1
20225,1
20226,2
20227,1
20228,1
20229,0
20230,1
20231,1
20232,2
20233,2
20234,0
20235,2
20236,2
20237,1
20238,2
20239,2
20240,0
20241,0
20242,1
20243,0
20244,1
20245,1
20246,1
20247,0
20248,0
20249,2
20250,1
20251,0
20252,1
20253,0
20254,1
20255,1
20256,0
20257,0
20258,1
20259,1
20260,1
20261,2
20262,1
20263,2
20264,0
20265,1
20266,2
20267,1
20268,2
20269,1
20270,1
20271,1
20272,1
20273,2
20274,1
20275,0
20276,1
20277,0
20278,2
20279,1
20280,1
20281,2
20282,1
20283,2
20284,1
20285,0
20286,2
20287,0
20288,1
20289,1
20290,0
20291,1
20292,1
20293,1
20294,1
20295,1
20296,1
20297,0
20298,0
20299,1
20300,1
20301,1
20302,1
20303,2
20304,2
20305,0
20306,1
20307,1
20308,0
20309,1
20310,0
20311,0
20312,2
20313,2
20314,0
20315,2
20316,1
20317,0
20318,1
20319,0
20320,1
20321,1
20322,2
20323,1
20324,0
20325,1
20326,0
20327,0
20328,1
20329,0
20330,0
20331,1
20332,2
20333,1
20334,1
20335,0
20336,1
20337,1
20338,1
20339,1
20340,1
20341,1
20342,1
20343,1
20344,1
20345,1
20346,1
20347,1
20348,2
20349,0
20350,1
20351,1
20352,1
20353,0
20354,0
20355,2
20356,0
20357,1
20358,1
20359,1
20360,0
20361,1
20362,1
20363,1
20364,2
20365,2
20366,1
20367,0
20368,1
20369,2
20370,2
20371,1
20372,1
20373,1
20374,1
20375,1
20376,1
20377,1
20378,0
20379,1
20380,1
20381,1
20382,0
20383,0
20384,0
20385,1
20386,1
20387,2
20388,2
20389,1
20390,0
20391,1
20392,1
20393,2
20394,1
20395,2
20396,1
20397,2
20398,0
20399,1
20400,1
20401,0
20402,1
20403,1
20404,1
20405,1
20406,1
20407,1
20408,1
20409,0
20410,1
20411,0
20412,1
20413,0
20414,0
20415,0
20416,2
20417,2
20418,0
20419,2
20420,1
20421,1
20422,1
20423,2
20424,1
20425,1
20426,0
20427,1
20428,2
20429,1
20430,2
20431,1
20432,1
20433,1
20434,1
20435,1
20436,0
20437,1
20438,0
20439,0
20440,1
20441,1
20442,1
20443,2
20444,1
20445,0
20446,1
20447,0
20448,2
20449,0
20450,2
20451,1
20452,1
20453,1
20454,1
20455,2
20456,1
20457,1
20458,1
20459,2
20460,2
20461,1
20462,2
20463,0
20464,1
20465,2
20466,1
20467,2
20468,1
20469,1
20470,1
20471,2
20472,1
20473,2
20474,1
20475,1
20476,1
20477,0
20478,1
20479,1
20480,0
20481,0
20482,2
20483,1
20484,0
20485,1
20486,1
20487,1
20488,2
20489,1
20490,2
20491,1
20492,1
20493,1
20494,0
20495,1
20496,1
20497,0
20498,1
20499,0
20500,1
20501,1
20502,2
20503,1
20504,1
20505,1
20506,1
20507,2
20508,1
20509,1
20510,1
20511,2
20512,1
20513,0
20514,1
20515,1
20516,2
20517,1
20518,1
20519,1
20520,0
20521,1
20522,1
20523,1
20524,1
20525,2
20526,1
20527,1
20528,1
20529,0
20530,1
20531,1
20532,1
20533,1
20534,0
20535,0
20536,1
20537,2
20538,1
20539,1
20540,1
20541,1
20542,1
20543,1
20544,0
20545,1
20546,1
20547,0
20548,1
20549,2
20550,1
20551,2
20552,2
20553,1
20554,1
20555,0
20556,0
20557,1
20558,1
20559,1
20560,1
20561,1
20562,1
20563,1
20564,1
20565,0
20566,1
20567,1
20568,1
20569,1
20570,0
20571,1
20572,1
20573,1
20574,1
20575,0
20576,1
20577,2
20578,2
20579,0
20580,1
20581,0
20582,1
20583,2
20584,0
20585,1
20586,1
20587,1
20588,1
20589,2
20590,2
20591,1
20592,1
20593,0
20594,2
20595,0
20596,1
20597,0
20598,1
20599,1
20600,1
20601,0
20602,1
20603,1
20604,1
20605,1
20606,1
20607,1
20608,2
20609,1
20610,0
20611,1
20612,1
20613,1
20614,1
20615,2
20616,0
20617,2
20618,1
20619,1
20620,2
20621,1
20622,1
20623,1
20624,1
20625,1
20626,1
20627,2
20628,1
20629,1
20630,1
20631,0
20632,2
20633,2
20634,1
20635,0
20636,0
20637,2
20638,1
20639,2
20640,1
20641,1
20642,0
20643,2
20644,1
20645,0
20646,1
20647,0
20648,1
20649,1
20650,1
20651,1
20652,1
20653,2
20654,1
20655,1
20656,1
20657,2
20658,1
20659,2
20660,1
20661,1
20662,1
20663,2
20664,1
20665,1
20666,1
20667,1
